 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 2 3 8| |      0|      0| 0.0116| 0.2690| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 2 3 9| |      0|      0| 0.0124| 0.2690| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 3 0 1| |     17|      3| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 3 0 2| |      1|      2| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 3 0 4| |     13|     11| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 3 0 5| |      7|      5| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 3 0 6| |      0|      1| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 3 0 7| |      2|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 3 0 8| |      1|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 3 0 9| |      0|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 3 1 1| |      9|      6| 0.6226| 0.2054| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 3 1 2| |      1|      1| 0.5485| 0.2054| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 3 1 4| |      9|      6| 0.6123| 0.2054| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 3 1 5| |      2|      3| 0.5662| 0.2054| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 3 1 6| |      1|      0| 0.6258| 0.2054| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 3 1 7| |      0|      0| 0.6322| 0.2054| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 3 1 8| |      0|      0| 0.5126| 0.2054| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
